date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,regime,stocks_held,cash,portfolio_value_start,portfolio_value,position_size,n_stocks,hmm_regime,cumulative_return
2024-01-10,0.010722955364133572,0.011822955364133572,50000.0,110.0,HIGH_VOL,"['MAZDOCK_NS', 'GODFRYPHLP_NS', 'BIOCON_NS']",False,100000.0,101072.29553641335,0.5,3,0,0.01072295536413348
2024-02-12,-0.0290408142483955,-0.0268408142483955,101072.29553641335,222.3590501801094,BULL,"['MOTILALOFS_NS', 'MAXHEALTH_NS', 'INDHOTEL_NS', 'LUPIN_NS']",False,101072.29553641335,98137.07377608144,1.0,4,1,-0.018629262239185596
2024-03-13,0.2538373657190047,0.2549373657190047,49068.53688804072,107.95078115368959,HIGH_VOL,"['AUBANK_NS', 'MOTILALOFS_NS']",False,98137.07377608144,123047.93006277356,0.5,2,0,0.2304793006277357
2024-04-16,-0.01898579714330247,-0.01678579714330247,123047.93006277356,270.7054461381019,BULL,"['SRF_NS', 'GLENMARK_NS', 'AUBANK_NS', 'IDEA_NS']",False,123047.93006277356,120711.76702369847,1.0,4,1,0.2071176702369848
2024-05-17,0.009720173165241531,0.01016017316524153,24142.353404739697,53.11317749042734,BEAR,"['INFY_NS', 'HINDZINC_NS', 'GODREJPROP_NS', 'POWERINDIA_NS']",False,120711.76702369847,121885.1063022511,0.2,4,2,0.2188510630225109
2024-06-19,0.047568091388828816,0.04800809138882882,24377.02126045022,53.629446772990484,BEAR,"['JUBLFOOD_NS', 'HCLTECH_NS', 'BRITANNIA_NS', 'SRF_NS', 'YESBANK_NS']",False,121885.1063022511,127682.94817777368,0.2,5,2,0.2768294817777368
2024-07-19,-0.001204572096762239,-0.00010457209676223896,63841.47408888684,140.45124299555107,HIGH_VOL,"['YESBANK_NS', 'NESTLEIND_NS', 'IOC_NS']",False,127682.94817777368,127529.1448611664,0.5,3,0,0.275291448611664
2024-08-20,0.03172182850902207,0.03392182850902207,127529.1448611664,280.5641186945661,BULL,"['ALKEM_NS', 'PAYTM_NS', 'TVSMOTOR_NS', 'POLICYBZR_NS']",False,127529.1448611664,131574.60252435456,1.0,4,1,0.31574602524354556
2024-09-18,-0.011279571975699107,-0.010839571975699108,26314.920504870912,57.89282511071601,BEAR,"['COCHINSHIP_NS', 'HDFCBANK_NS', 'BSE_NS', 'PAYTM_NS', 'MAXHEALTH_NS']",False,131574.60252435456,130090.4973250071,0.2,5,2,0.30090497325007104
2024-10-18,-0.0722,-0.07,130090.4973250071,286.19909411501567,BULL,"['IDEA_NS', 'IRFC_NS', 'COCHINSHIP_NS']",False,130090.4973250071,120697.96341814159,1.0,3,1,0.20697963418141585
2024-11-19,-0.028017577509063488,-0.027577577509063488,24139.592683628318,53.1071039039823,BEAR,"['COLPAL_NS', 'IDEA_NS', 'DMART_NS']",False,120697.96341814159,117316.2988728877,0.2,3,2,0.17316298872887703
